Tenant,Betweenness
JOHN LANGFORD,0.0003020060076503924
KRUNGSRI,0.0002969369326905961
BUTTERFLY THAI PERFUME,0.00029400626536644565
SAINT CROISSANT,0.0002932528102102461
LAGRACE CLINIC,0.00028913031527144986
RATCHANON,0.00028638960294007386
PAN KHAM HOM,0.00028633806871836674
THE VIRIYAH INSURANCE,0.00028540732755483064
SAVE DRUG,0.0002848280213327148
NOBICHA,0.0002827023084916878
UMM!..MILK,0.0002815689222591392
EASY BUDDY,0.00027772188995810394
BKK DIAMOND,0.0002767795275283191
ANASTASIA MIARAY,0.0002751066729800212
ASA SERVICE,0.00027357911893087023
SUPERDRY,0.00027234556421323707
TOKYO SWEETS,0.0002722175805790588
LENS & TIME,0.0002707355748685806
GLOBAL ART,0.0002696665473370236
AKALIKO,0.0002691872637328195
PAINT N PLAY,0.00026804936659130627
BANGKOK TIME CENTER,0.00026560541920781844
TOPS FOOD HALL,0.00026046709155727284
OISHI EATERIUM,0.00026039718663665437
ORANGINAL,0.0002599461573741583
MA CHANDELLE,0.00025873290970205085
WANG TOA KANG YAOWARAT GOLD,0.0002587224784623772
ICARE,0.00025857034398536055
PAY BY P.A.PHONE,0.0002582938206991878
FOODPATIO,0.00025569744753520284
THE VOLCANO,0.00025041444712219264
ROYAL IVY REGATTA NEW ENGLAND,0.0002492636107355883
GIVENCHY,0.00024588130500823214
KUAYJUBSAMTOOM,0.00023765138859593645
KIKO MILANO,0.00023738999277727273
TP TEA,0.00023738999277727273
ZARA,0.00023691521279171814
LEGO CERTIFIED STORE,0.00023691521279171814
LABX,0.00023594406940953146
ZAAB ELI,0.0002299394147638302
KOBE STEAK HOUSE,0.00022773574152945675
DOLLAR BOUTIQUE,0.00022676713738270973
LUCKY MILK,0.00022674508151052268
KOI THÉ,0.0002262889034482053
A'MAZE,0.00022627858644558668
TENYA,0.0002260170102336251
SUKISHI CHARCOAL GRILL,0.00022591134349681278
SEECHA,0.00022590370216336758
ACE,0.0002229188555957069
FOREVER FLAWLESS,0.00021906242464057532
PLOEN POONG,0.00021833259709585622
BYD,0.00021833259709585622
MAGO FOOTWEAR,0.0002178959319016645
MAE THONGSUK,0.0002178959319016645
ROVING FOX,0.0002178959319016645
KHUN CHAI BERRY,0.0002178959319016645
ADIDAS ORIGINAL,0.00021760847911947036
KARMART,0.00021718761054284876
DOUBLE GOOSE,0.00021637595485251258
MIHIMIHI,0.00021617593168637246
PACAMARA,0.00021594320294280754
PRANAKORN BOAT NOODLE,0.0002141007669458657
YAOWARAT KRUNGTHEP,0.0002134102571845054
RESTER,0.0002134102571845054
LH BANK,0.00021304568829360582
BANGKOK GOLD,0.0002120514187454297
KRUNGSRI BANK,0.00021108734912082358
PENG GEE,0.00020676783554715009
NOODLE GARDEN,0.00020676783554715009
MODERN AIR,0.00020453051478489727
B SA B,0.0002040843459295761
YUMEYA,0.00020392865934790053
ARENA,0.00020389554612163684
BANDAI KIDZ&KITZ,0.00020389554612163684
SAMSUNG SERVICE,0.00020389554612163684
52 TOYS,0.00020389554612163684
CLAY WORKS,0.00020296616596399082
DOCTOR LIFE,0.00019787526723878652
BAIMIANG,0.00019339850511881777
ELEMENT 72,0.0001931717049674593
PADTHAIHOYTODSIAMUMPAVA,0.00019152584047985052
THREE,0.00018835945405419946
BEVERLY HILLS POLO CLUB,0.00018835945405419946
LANCOME,0.00018835945405419946
ESPRIT,0.00018835945405419946
ORIGINS,0.00018835945405419946
SCHOLL,0.00018835945405419946
ISSEY MIYAKE,0.00018835945405419946
LANEIGE,0.00018835945405419946
LUMINOX,0.00018835945405419946
DAVIDOFF,0.00018835945405419946
BOBBI BROWN,0.00018835945405419946
RALPH LAUREN,0.00018835945405419946
MOSCHINO,0.00018835945405419946
POLICE,0.00018835945405419946
JIMMY CHOO,0.00018835945405419946
COVERMARK,0.00018835945405419946
ELLE,0.00018835945405419946
HUGO BOSS,0.00018835945405419946
QUIKSILVER,0.00018798273514609103
CITIZEN,0.00018798273514609103
DELSEY,0.00018798273514609103
SISLEY,0.00018798273514609103
MONTBLANC,0.00018798273514609103
GOLD MASTER,0.00018798273514609103
CLINIQUE,0.00018798273514609103
VERSACE,0.00018798273514609103
REVLON,0.00018798273514609103
ANNE KLEIN,0.00018798273514609103
NATURALIZER,0.00018798273514609103
KOSE,0.00018798273514609103
NARCISO RODRIGUEZ,0.00018798273514609103
YSL,0.00018798273514609103
SHISEIDO,0.00018798273514609103
BSC,0.00018798273514609103
JOHN HENRY,0.00018798273514609103
SULWHASOO,0.00018798273514609103
ESPADA,0.00018798273514609103
ROXY,0.00018798273514609103
DOLCE GABBANA,0.00018798273514609103
KANEBO,0.00018798273514609103
ESTEE LAUDER,0.00018798273514609103
ESP,0.00018798273514609103
DAPPER,0.00018798273514609103
CAROLINA HERRERA,0.00018798273514609103
CASIO,0.00018798273514609103
ALBA,0.00018798273514609103
PACO RABANNE,0.00018798273514609103
LAURA MERCIER,0.00018798273514609103
KHAMOOJAKKAPAD,0.0001871783412394683
BEARD PAPA'S,0.0001866404332352913
ORIGANI,0.0001854690032713015
BATH&BLOOM,0.0001834596908830444
SUUNTO,0.0001834596908830444
AU BON PAIN,0.00018342035257845832
MIKUCHA,0.0001831331577685401
AQUA COSMETICS,0.00018168538799304989
เซ่งเฮง,0.00018157013534992025
CHERILON,0.00017924040881774886
D'ARTE,0.0001784014189389075
HOOPS STATION,0.0001782339712515208
PASAYA,0.00017479808203695485
MIKI MIKI STORE,0.0001730147326873362
BLOOMING HOUSE,0.00017091474447229703
ONGSA MOBILE,0.00016907396145359477
X=ACT,0.00016508246231728815
TUMRABTHAI,0.00016486729072706627
AGLAM,0.0001624748734150324
WASH ME,0.00016096844082239792
GIANTLOOKCHINPLARABERD,0.00016040503851489225
SHINKANZEN SUSHI,0.0001576345151257133
TG EXPRESS,0.0001564791242881351
RARDNALUNGHOITIENLAO,0.00015413795419230546
MONTIPA,0.00015215058954631597
RUENNAMPRIK,0.00015172076021880784
NARAYA,0.00015068975727845104
FOOD PATIO,0.0001505288112822932
NITIPON,0.00014984334606971464
JOJI SECRET YOUNG,0.0001495436593775752
KRUNGTHAI,0.0001495436593775752
WHANGTOHKANG,0.0001495436593775752
TIEWRUASAOWAREE,0.00014920515865668316
IT GO,0.0001491757626895831
CLICKROBOT,0.00014874779322953405
ELIZABETH,0.00014735813504279291
AURORA DIAMOND,0.00014433170816912275
DARAKA DIAMOND,0.00014433170816912275
SAKULTHONG,0.00014433170816912275
TUCK PAD KAPHRAO TRAY GIANT,0.0001439882099261917
KOREADONG THAILAND,0.00014370023350633932
RED SUN,0.00014349630757405307
ZEIN,0.00014190248065485813
WESTERN UNION,0.0001417945900349615
KHONG KWAN CLINIC,0.0001414818331401669
BOSE,0.0001414818331401669
ZLEEP SLEEP,0.00014119886947388656
LIVERPOOL,0.00014080196502404355
PHUNGNOI BAKERY,0.0001402836019855912
SOUND CHECK KARAOKE,0.00013949640087863323
OCHAYA,0.0001386227223850315
KATE SPADE,0.00013672992544931268
POLO RALPH LAUREN,0.00013645646559841404
COCCINELLE,0.00013645646559841404
NATURE,0.00013605071319741798
BAGNIFIQUE,0.00013377081845506844
CHICCO,0.00013377081845506844
STANLEY,0.00013377081845506844
BHC CHICKEN,0.00013350327681815828
IKEA,0.00013350327681815828
POP MART,0.00013350327681815828
ZOJIRUSHI,0.00013350327681815828
WILSON,0.00013350327681815828
NAMTAOHUU PU PLA,0.00013350327681815828
PICO,0.00013350327681815828
LOCKNLOCK,0.00013350327681815828
JD SPORTS,0.00013350327681815828
IRON PAN,0.00013350327681815828
BIG C,0.00013301681903444006
KIKI BABY,0.00013249185871731456
JOYLIDAY,0.0001315297131754401
LUXEQUEEN,0.00013126990272358584
DR.KONG,0.00013100736291813867
DAKASI MILKTEA,0.00013100736291813867
SPEED GAMING,0.00013100736291813867
OKII KATSU,0.00013100736291813867
MIYAZAKI,0.00012973111197867848
KOOMI,0.00012936724973561462
VIVO SERVICE,0.00012783075869003327
THE SIS CLINIC,0.00012783075869003327
SIAM RAMA III MUSIC SCHOOL,0.00012777633336915126
VITSAVA NOODLE,0.0001277498785133153
ก๋วยเตี๋ยวเรือพระนคร,0.00012773883362582865
PROVINCIAL ELECTRICITY AUTHORITY,0.00012748867639224686
T-PARTNER,0.00012721217865174504
LAND AND HOUSE BANK,0.00012539864466335263
KHANOM JEEN BANGKOK,0.00012533500261269732
ลาวญวน,0.00012353865283148976
A MONEY,0.0001235126774623206
AI-CHA,0.0001232830080309339
DREAME,0.00012276622691453104
CANTEEN,0.00012233556386968125
BUTTER SCOTCH,0.0001221376079141532
KA-NOM,0.0001221376079141532
U CARE,0.0001221376079141532
BUJEONG CLINIC,0.00012209089274194186
MOMIZU HOUSE,0.00012209089274194186
KENNETH COLE,0.00011908941550025364
ไปรษณีย์ไทย,0.0001188896016018485
KANSEI SUSHI,0.00011646361375794284
SENGHENG,0.00011622104979955621
JETTS 24 HOUR FITNESS,0.00011416384569219731
LUSH FRESH HANDMADE COSMETICS,0.00011327624483111051
KHAHMUSENTHLUY,0.00011255396737052288
MEZZO,0.00011248523730547081
PANCAKE CAFÉ,0.00011232885943578182
