Tenant,Community,Corporate,Degree
VITALS THAILAND,0,,3
WILITSAMARA,0,,5
WILSON,0,,5
YOLE,0,,5
YOLK,0,,4
YUME MATCHA,0,,4
กับข้าวกับปลา,0,,6
ARTEPOLE,0,,3
BANGKOK BOOTERY,0,,3
CHATUPORN,0,,3
FUNDAO,0,,3
GIVENCHY,0,,3
HERMES,0,,3
HIKINIKU TO COME,0,,3
LEGO LITE,0,,3
LEILA AMULETS,0,,3
LITTLE EDEN,0,,3
MARIA VICTORIA,0,,3
MIFFY,0,,3
OCEAN TOYS,0,,3
OMAKASE DON BY TEPPEN,0,,3
PETYE,0,,3
QUINN,0,,3
RALLY MOVEMENT,0,,3
SANDRO,0,,3
SCHOTT ZWIESEL,0,,3
SHIN CHAN,0,,3
SPORTY & RICH,0,,3
STANLEY,0,,3
STEPHEN JOSEPH,0,,3
SUKONTA,0,,3
TAI TIER,0,,3
TOPOLOGIE,0,,3
WARDROBE MINISTRY,0,,3
GOLD MASTER,0,,7
HERO KIDS,0,,8
OSIM,0,,5
THE A LIST,0,,5
ZUS COFFEE,0,,8
BUTTER SCOTCH,0,,4
CIRCULON,0,,7
CORDIAL,0,,5
DIPOA,0,,4
GOLD MASTER ELECTRO,0,,5
HITACHI,0,,7
HOMEBOY,0,,5
LAMUNN,0,,4
MR. SHAKE,0,,9
PHILIPS LIGHTING,0,,8
RHYTHM,0,,4
UNO COFFEE,0,,7
ALPAKA,0,,3
COMBI,0,,4
Yale Smart Shop,0,,4
VICTORIA SECRET BEAUTY,0,,6
BIBI,0,,4
CASEHARDEN,0,,3
CORELLE,0,,5
COSSMOSS,0,,3
ENERGIZER,0,,7
HAFELE,0,,4
KIANI,0,CRG,4
LA PRAIRIE,0,,3
LAMPTAN,0,,6
LANVIN,0,,5
LUSTRO WARE,0,,3
MICHAEL KORS,0,,5
NEEDLEWORLD,0,,3
PACAMARA,0,,4
PRESTIGE,0,,4
ROYAL BONE CHINA,0,,5
SERVICE,0,,6
SIKU,0,,4
SUKHO,0,,4
YACCOMARICARD,0,,4
CHJ JEWELLERY,0,,3
SPEEDGEAR,0,,4
BIG CAMERA GALLERIA,0,,3
LAUGH,0,,3
ROSEGREEN,0,,3
360SWIM,0,,3
@SEA,0,,3
ANUROJ,0,,3
COOL X MINIMAL,0,,3
ISOMARE,0,,3
JOG,0,,3
YODYOKO,0,,3
MICKEY MOUSE,0,,5
NS,0,,3
RUNWAY ITEMS,0,,4
SOLEX,0,,3
TENMA,0,,3
WONDERWORLD,0,,3
CHEFN,0,,3
COOL MAKER,0,,3
FFASHION,0,,3
KIDZ & KITZ,0,,3
MANFAIR,0,,3
MELLOW,0,,3
ONLY ORGANIC,0,,3
RONA,0,,3
TOP MODEL,0,,3
.LIFE,3,,13
ADIDAS,3,,32
AIS,3,,38
AKA,3,,28
AMAXS,3,,13
APEX,3,,18
ARI FOOTBALL,3,,11
ATM KASIKORN BANK,3,,18
ATM SIAM COMMERCIAL BANK,3,,23
AUGUST TOYS,3,,5
AUNTIE ANNE'S,3,CRG,36
AURORA,3,,38
B2S,3,CRC,32
BANANA,3,,36
BANANA MOBILE,3,,18
BANGKOK GOLDS,3,,19
BATA,3,,34
BEARHOUSE,3,,24
BEAUTRIUM,3,,39
BETTER VISION,3,,29
BIG CAMERA,3,,36
BLOOMING HOUSE,3,,12
BOARD GAME EVERYDAY CAFE,3,,3
BODY GLOVE,3,,22
BONCHON,3,,36
BOOST JUICE BAR,3,,38
BOOTS,3,,35
BOSS TIME,3,,8
CAFE AMAZON,3,,42
CALBEE KAITSUKA,3,,9
CC-OO,3,,29
CHESTER'S,3,,15
COCO ICHIBANYA,3,,16
COWAY,3,,36
CPS CHAPS,3,,21
CROCS,3,,39
CRUZY,3,,10
CUTE PRESS,3,,24
DAIRY QUEEN,3,,38
DIAMOND FOR YOU,3,,8
EYE CLASS,3,,22
FOCUS,3,,9
FOOD PARK,3,,16
FUJI JAPANESE RESTAURANT,3,,38
FUKU MATCHA,3,,25
FUN CITY,3,,15
Future Living,3,,18
G-SHOCK CASIO,3,,28
GANGNAM CLINIC,3,,25
GINZY HEALTHYFOODPRODUCT,3,,4
GQ,3,,29
Human Charger,3,,14
I CARE,3,,13
IT CITY,3,,24
JAYMART IOT,3,,9
JELLY BUNNY,3,,23
JETTS 24 HOUR FITNESS,3,,7
JIB,3,,35
JONES' SALAD,3,,11
JOOM ZAP HUT/BAR B Q,3,,6
KAMU TEA,3,,10
KFC,3,CRG,41
KIDZOOONA,3,,8
KOI THE',3,,36
KRISPY KREME,3,,21
KRO TRON,3,,7
KRUNG THAI BANK,3,,38
KT OPTIC,3,,18
LEMO,3,,34
LEMONY,3,,26
LG Subscribe,3,,12
LIVIA,3,,8
LOOKER,3,,20
LYN,3,,28
LYN AROUND,3,,24
MC JEANS,3,,29
MISSLENS,3,,9
MISTER DONUT,3,CRG,34
MK RESTAURANTS,3,,37
MONTIPA,3,,15
MOSHI MOSHI,3,,31
MOTTA,3,,22
MR.D.I.Y.,3,,19
NINETIES DESIGN,3,,13
OFFICE MATE,3,,18
OPPO,3,,34
ORIENTAL PRINCESS,3,,31
ORIGANI,3,,8
OWNDAYS,3,,30
PAY BY P.A.PHONE,3,,18
POLI-CHEM,3,,16
PORNKASEM CLINIC,3,,15
POTATO CORNER,3,,37
POWER BUY,3,CRC,33
PREM,3,,17
PROMTHONG,3,,15
RATCHANON,3,,6
RECYCLE DAY,3,,8
S&P,3,,14
SABINA,3,,37
SAMSUNG,3,,23
SANTAFE' STEAK,3,,7
SE-ED BOOK CENTER,3,,19
SF CINEMA,3,,17
SHABUSHI / ชาบูชิ,3,,34
SHINKANZEN SUSHI,3,CRG,7
SKECHERS,3,,38
SMOOTH LIFE,3,,3
SNAP SENSE,3,,5
SOURI,3,,18
STARBUCKS COFFEE,3,,43
STUDIO7,3,,10
SUKISHI CHARCOAL GRILL,3,,13
SUPERSPORTS,3,CRC,26
SWENSEN'S,3,,38
TAYWIN ORIGINAL STYLE,3,,19
TG FONE,3,,28
THE FACE SHOP,3,,24
THE KLINIQUE,3,,26
THE NEXT,3,,16
THE PIZZA COMPANY,3,,26
TOPS,3,CRC,16
