Tenant,MallCount
U DIAMOND,3
ERGOTREND,3
GANGNAM,3
JOHN HENRY,3
SKYLUCK,3
DOCTOR LIFE,3
RED SUN,3
ALBEDO,3
ICECREAMMAHACHAI,3
HONOR,3
BSC COSMETOLOGY,3
BANDAI,3
V2LAND,3
ELEMENTS,3
ZAAB ELI,3
ORANGINAL,3
GIVENCHY,3
LEGO CERTIFIED STORE,3
ISSEY MIYAKE,3
PHUNGNOI BAKERY,3
B SA B,3
ISTUDIO BY COPPERWIRED,3
BUTTERFLY THAI PERFUME,3
PLOYRADA CLINIC,3
ESP,3
GOVERNMENT CENTER,3
BB BEYOND D-BOX,3
MA CHANDELLE,3
SOMTAM NUA,3
KOBE STEAK HOUSE,3
SUUNTO,3
UMM!..MILK,3
THONGSUAY,3
MODERN AIR,3
EASY BUDDY,3
PRANAKORN BOAT NOODLE,3
BLOOMING HOUSE,3
PADTHAIHOYTODSIAMUMPAVA,3
JIMMY CHOO,3
SOUND CHECK KARAOKE,3
YSL,3
CHALACHOL,3
NAIL CLUB,3
GARRETT POPCORN SHOPS,3
TOPS FOOD HALL,3
A MONEY,3
GLO,3
KEDMA,3
NATURALIZER,3
CARNIVAL,3
THE ADJECTIVE,3
SEECHA,3
RARDNALUNGHOITIENLAO,3
EAT AM ARE,3
LUKFOOK JEWELLERY,3
OCHAYA,3
KIKO MILANO,3
SATO DON,3
MONTBLANC,3
PULL & BEAR,3
CLICKROBOT,3
COS MARCHE,3
DANIEL WELLINGTON,3
OOFOS,3
ADIDAS NEO CREDIT,3
ORIGINS,3
SSAMTHING TOGETHER,3
ZARA,3
OSIM,3
NARAYA,3
OPPO SERVICE,3
AKALIKO,3
STRAWBERRY CLUB,3
CITIZEN,3
CLINIQUE,3
KUMON,3
TIEWRUASAOWAREE,3
LESPORTSAC,3
GLOBAL ART,3
JOYLIDAY,3
SHISEIDO,3
ROXY,3
QUIKSILVER,3
ONGSA MOBILE,3
BONAGE,3
COCCINELLE,3
SOURI,3
LAGRACE CLINIC,3
YOUR FACE,3
AVOCADO,3
CHOI'S TAEKWONDO,3
CAMPER,3
CITY CHAIN,3
DEFRY 01,3
POLICE,3
NYLA,3
GOLD MASTER,3
RALPH LAUREN,3
BURBERRY,3
RUENNAMPRIK,3
BANGKOK TIME CENTER,3
AI-CHA,3
KOOMI,3
KEEN,3
PASAYA,3
A RAMEN,3
SHINKANZEN SUSHI,3
CHERILON,3
ECC LANGUAGE INSTITUTE,3
SULWHASOO,3
NESPRESSO,3
MELODY KARAOKE,3
DREAME,3
KIKI BABY,3
OUTDOOR BOTANICA BY ELEMENT 72,3
CAROLINA HERRERA,3
ก๋วยเตี๋ยวเรือพระนคร,3
KUAYJUBSAMTOOM,3
POLO RALPH LAUREN,3
ANANTA,3
BOTANIFIQUE,3
ASUS,3
THE VOLCANO,3
WAKINGBEE,3
VERSACE,3
TOKYO SWEETS,3
JAY MART IOT,3
SISLEY,3
ROYAL IVY REGATTA NEW ENGLAND,3
DELSEY,3
TONG GARDEN,3
ESPRIT,3
SIAMAUMPAWA,3
ห้างทองหวังโต๊ะกังเยาวราช,3
SUSHI HIRO,3
MANCHESTER,3
O&B,3
COLOUR NAIL,3
RUE ROYALE,3
CHONGDEE TEAHOUSE,3
LANCOME,3
BATH&BLOOM,3
SWATCH,3
3BB,3
VOCALIZE,3
KRUNGSRI BANK,3
PACO RABANNE,3
SCHOLL,3
KATE SPADE,3
ESPADA,3
KENNETH COLE,3
ALUMNUS WOMEN,2
COFFEE TODAY,2
LUSH,2
BE ME,2
CRUISE BY CHRISTIANA,2
DORTMUEND,2
AZABU SABO,2
JAY CHIU,2
CARSON,2
NAIL IT,2
TIMEX,2
SCOTT JUMP,2
KEY & SHOES SERVICE,2
LIYA,2
TOPS CLUB,2
PRIMA,2
KOMONOYA,2
MAMIL,2
KUAI CHAP SAM THUM,2
OKLS,2
LA PRAIRIE,2
