Tenant,Eigenvector
ORIGINS,0.02589648101868511
EXOTICA,0.02575301665783983
TIGER,0.025731559876423126
LAMOON,0.025726712497194146
BY NATURE,0.025674575690318033
PREM,0.025640489610742553
LEVIS KIDS,0.02553626355185192
JOSEPH,0.025532498099006738
ZEN JAPANESE RESTAURANT,0.025485299974418014
BOSSINI,0.025446327934056743
OPTICAL 88,0.025390494692453636
SAEMAEUL,0.025380519713760402
CHRISTIANA,0.025364507566179723
GIAN FERRENTE,0.025239408638095862
BABYLISS,0.025225934000912408
WARRIX,0.02515799927234532
KAYAJIT,0.025150544154802057
EVISU GENES,0.02514097484084249
DISNEY TAKETOYS,0.025132579264265088
AEON THANA SINSAP,0.025097585899956178
BERGHOFF,0.025077404888689862
itgo,0.025042171191880052
MOSHI AVA,0.025031307856210945
SANTAFE',0.024994641609671155
PAUL FRANK,0.024906317395522307
PINNARA,0.02490424787188686
LABX,0.024840909014091604
PARENT,0.024599202108677835
BONBEBE,0.02459216888614
I CARE,0.024590719486675936
SALAD FACTORY,0.024584062108932703
JAGUAR,0.024560718431417664
REV RUNNR,0.024550800696651543
FERRENI BLACK,0.024543273364492697
SWAROVSKI,0.024485058096748984
ห้างทองเยาวราชกรุงเทพ,0.024481879692954542
TULIP,0.024471794018765373
TORY BURCH,0.02445748405939606
ADVICE,0.024446542264115786
MATINO,0.024399712125346234
MLB,0.024350726299226924
YAMAHA MUSIC SCHOOL,0.024279257830797606
BANANA MOBILE,0.024253977762809346
SF CINEMA,0.024252314718134854
BAOJI,0.024172379868109023
TOPS,0.024156379700773334
HIGH SCHOOL,0.024090956522590343
CATH KIDSTON,0.024051280411215094
NOOYOO,0.02404304256062673
U R THE,0.0240269380579022
INTERLINK,0.024011145264697435
AFTER YOU,0.023902758233925497
KT OPTIC,0.023901284060718706
SIVANNA COLORS,0.023863180530485566
CIERA,0.02382800805178887
ELEMENT 72,0.023734145762134777
Nose Tea,0.023585113061994924
AUKA,0.023567315062998476
MIMOSA,0.02352454557139991
PHATMOJO,0.023498094173293276
CIMB THAI BANK,0.02349573643790562
COLD STONE CREAMERY,0.02348609905020952
ZEN,0.023445219547962252
GODMAMI,0.023417471468060252
SAINT ETOILE BY YAMAZAKI,0.0233713013200124
BEABA,0.023317034443642436
PRETTY OVO,0.023195662644961552
TO B 1 HAIR STATION,0.023191596450874676
CANNON,0.02314272860968974
CLEVAMAMA,0.023126099330436002
JO MALONE,0.023080002338300695
BRAUN SMALL,0.022963642828348174
BAMBIES,0.022962244731641653
LEON,0.02296209831302851
TURBORA,0.022950717839130285
NGG,0.02286232563664145
MLAB,0.02285862283044427
.LIFE,0.022717604942955466
Human Charger,0.02271534089212152
LITTLE LIVE PETS PACIFIC,0.022707130960130686
P PROM ACCESSORIES,0.022603046903315643
JOYLIDAY PLUS,0.022569696155647634
MR.JOLLY YOGURT,0.022418376600057997
ELLE HOMME,0.022369615492881224
HAI DI LAO,0.022356444053179825
ELFE,0.022355739329956853
DOGENI,0.02235175584153723
HERO KIDS,0.022346962998253037
OTTO SMALL,0.02231800081236989
GRANNY BEN,0.022308439318220408
MARVEL BB TOYS,0.022283073845921278
REUNROM,0.022233459499907352
LADY PLUS,0.022149707000085832
BAKE A WISH,0.02214935746768592
BIRKENSTOCK,0.02210009441509466
LUMINOX,0.02209940428202726
Junenycandy,0.021982741777154518
JONES' SALAD,0.021926220843763607
CROCODILE,0.021862840141718597
ANDREW BROWN,0.021815650152610316
ปังสยาม,0.02179948521817303
FITNESS FIRST,0.02177394673665357
NINETIES DESIGN,0.021763207464214753
LUKFOOK JEWELLERY,0.02173010937922474
SOFFLIN,0.02170713015621952
LG Subscribe,0.021697926483782323
FOOD PARK,0.02168943661774654
