Tenant,Degree,Malls,Categories,Community,Corporate,Betweenness,Eigenvector
ALTA24,1,centralwOrld,Technology & Electronics,,,0.0,0.0
ALTEC,1,Central Rama 9,Robinson Department Store,,,0.0,0.0
ALTRA,1,Central Park,Fashion & Apparel,,,0.0,0.0
ALUMINUM BY FANTASY,1,Central Bangna,Other,,,0.0,0.0
ALUMNUS,11,Central Chiangmai; Central Korat; Central Ladprao; Central Pattaya; Central Phuket Floresta; Central Pinklao; Central Rama 2; Central Rama 3; Central Samui; Central Westgate; centralwOrld,Central Department Store,1,,0.000632,0.030065
ALUMNUS WOMEN,13,Central Chiangmai; Central Korat; Central Ladprao; Central Nakhonsawan; Central Pattaya; Central Phuket Floresta; Central Pinklao; Central Rama 2; Central Rama 3; Central Samui; Central Udon; Central Westgate; centralwOrld,Central Department Store,1,,0.000562,0.035214
ALWAYS DRY,1,Central Rama 9,Robinson Department Store,,,0.0,0.0
AM,1,Central Ladprao,Technology & Electronics,,,0.0,0.0
AM PHONE,1,Central Mahachai,Technology & Electronics,,,0.0,0.0
AMARA Handmade,7,Central Chiangmai Airport; Central Hatyai; Central Krabi; Central Marina Outlet; Central Park; Central Pattaya; centralwOrld,Fashion & Apparel,3,,0.000285,0.007408
AMAXS,13,Central Ayutthaya; Central Chonburi; Central Korat; Central Krabi; Central Lampang; Central Nakhon Si; Central Phuket Festival; Central Rama 3; Central Rama 9; Central Salaya; Central Samui; Central Suratthani; Central Ubon,Lifestyle & Specialty,0,,0.000833,0.016264
AMAXS FERRARI OFFICIAL DISTRIBUTOR THAILAND,1,Central Chiangmai,Entertainment,,,0.0,0.0
AMBER,3,Central Chiangmai; Central Ladprao; centralwOrld,Central Department Store,1,,0.000302,0.006928
AMERICAN EAGLE / AERIE,2,Central Phuket Festival; centralwOrld,Fashion & Apparel,,,0.0,0.0
AMERICAN EAGLE OUTFITTERS,2,Central Pattaya; Central Samui,Fashion & Apparel,,,0.0,0.0
AMERICAN TOURISTER,20,Central Chiangmai; Central Chiangmai Airport; Central Chiangrai; Central Chonburi; Central Korat; Central Ladprao; Central Nakhonsawan; Central Pattaya; Central Phuket Festival; Central Phuket Floresta; Central Pinklao; Central Rama 2; Central Rama 3; Central Rama 9; Central Samui; Central Udon; Central Village Outlet; Central Westgate; Central Westville; centralwOrld,Lifestyle & Specialty,1,,0.000593,0.048849
AMILA,3,Central Chiangrai; Central Rama 9; Central Westgate,Robinson Department Store,2,,0.000157,0.004687
AMOR,11,Central Chaengwattana; Central Chiangmai; Central Ladprao; Central Pattaya; Central Pinklao; Central Rama 2; Central Rama 3; Central Rama 9; Central Samui; Central Westgate; centralwOrld,Food & Beverage,1,,0.000529,0.029992
AMORN TELECOM,1,Central Nakhonsawan,Technology & Electronics,,,0.0,0.0
AMOURA,1,Central Samui,Fashion & Apparel,,,0.0,0.0
AMULET RAMA 3,1,Central Rama 3,Services & Education,,,0.0,0.0
AMUSE,1,centralwOrld,Beauty & Wellness,,,0.0,0.0
AMY,1,Central Phuket Festival,Fashion & Apparel,,,0.0,0.0
AMZAP,1,Central Chiangrai,Food & Beverage,,,0.0,0.0
AN AWL,2,Central Pinklao; centralwOrld,Central Department Store,,,0.0,0.0
AN CAMPING,1,Central Pattaya,Fashion & Apparel,,,0.0,0.0
AN WATCH,1,Central Northville,Services & Education,,,0.0,0.0
ANANDA PARTY ART GALLERY,1,Central Ramindra,Other,,,0.0,0.0
