Tenant,CompositeScore,GNN_Prediction,Category
MARMORIS,0.016976444,0.034739565,Fashion & Apparel
HAP,0.016976444,0.034739565,Fashion & Apparel
MILALA HANDMADE,0.016119227,0.034068257,Fashion & Apparel
LEILA AMULETS,0.003614631,0.032834016,Fashion & Apparel
TOPOLOGIE,0.003614631,0.032834016,Fashion & Apparel
RALLY MOVEMENT,0.003614631,0.032834016,Fashion & Apparel
LEE WRANGLER,0.03866887,0.03238546,Fashion & Apparel
Troops,0.00092656066,0.030206826,Fashion & Apparel
ILY,0.020947482,0.03012669,Fashion & Apparel
OH O,0.026735632,0.028910935,Fashion & Apparel
MIRA,0.03451174,0.028766736,Fashion & Apparel
Underdome,0.020765962,0.028203264,Fashion & Apparel
QUINN,0.023231816,0.028168574,Fashion & Apparel
ALLDAY SHOES,0.021446707,0.027912118,Fashion & Apparel
GEMS HERITAGE,0.008268131,0.027611889,Fashion & Apparel
COMMON STUDIO,0.009266612,0.025136635,Fashion & Apparel
LAMOBI,0.027256526,0.024858586,Fashion & Apparel
BABY MAI AR,0.02213548,0.024792466,Fashion & Apparel
SIGNATURE P,0.012450273,0.023515195,Fashion & Apparel
C P S,0.0074601723,0.02260362,Fashion & Apparel
KITTIN,0.019883603,0.022485323,Fashion & Apparel
PUFF,0.020838775,0.022405177,Fashion & Apparel
JEWEL CAFE,0.02145858,0.021836583,Fashion & Apparel
KAREN,0.01833641,0.020267952,Fashion & Apparel
bana playa,0.00044670328,0.019155718,Fashion & Apparel
DOSH (DESCENDANT OF SUPERHEROES),0.021386335,0.018543743,Fashion & Apparel
SWATCH,0.009275857,0.018436223,Fashion & Apparel
JN STUDIO,0.012307406,0.017975904,Fashion & Apparel
CHRISTSIANO,0.01714841,0.01740352,Fashion & Apparel
ตำหนักทอง ๕,0.008995346,0.017354932,Fashion & Apparel
AURORA DIAMOND,0.0119835865,0.01723864,Fashion & Apparel
MARRY GEMS,0.003434652,0.017142422,Fashion & Apparel
MUDEE,0.009733331,0.016219687,Fashion & Apparel
REPLEAT BAGS,0.0014231895,0.016058981,Fashion & Apparel
REPLEAT SPECIAL,0.0014231895,0.016058981,Fashion & Apparel
LULULEMON,0.0014231895,0.016058981,Fashion & Apparel
PRIMESWIM,0.0014231895,0.016058981,Fashion & Apparel
TADA,0.013516393,0.015833773,Fashion & Apparel
LAPAIRE JEWELRY,0.0032343005,0.015441738,Fashion & Apparel
THE LAB,0.008088801,0.015331104,Fashion & Apparel
O SPORTSWEAR,0.02122368,0.015294481,Fashion & Apparel
EARDOTS,0.013352568,0.015217014,Fashion & Apparel
SEOULSHIRTS,0.008341057,0.015104566,Fashion & Apparel
EYELINK OPTIC,0.0059680142,0.014764365,Fashion & Apparel
KIDS NINETY9,0.011189999,0.014226198,Fashion & Apparel
ROVING  FOX,0.0024906388,0.013835918,Fashion & Apparel
FUNDAO,0.0025957776,0.013755657,Fashion & Apparel
WG,0.023433482,0.013636485,Fashion & Apparel
MILLI,0.0104723545,0.013542168,Fashion & Apparel
MAMSA,0.009548454,0.013251476,Fashion & Apparel
TOMORROW,0.0048535597,0.012712978,Fashion & Apparel
MATTER MAKERS,0.010479945,0.011698909,Fashion & Apparel
HOKA,0.0043579363,0.011286132,Fashion & Apparel
SF BRANDNAME,0.01656528,0.010398958,Fashion & Apparel
P PROM,0.0036724396,0.009689841,Fashion & Apparel
เยาวราชกรุงเทพ,0.004797081,0.009675056,Fashion & Apparel
CHARMING,0.008745718,0.009607859,Fashion & Apparel
CHU'TY,0.0060497643,0.009565726,Fashion & Apparel
NINETIES,0.0075514596,0.009450082,Fashion & Apparel
SHOE BAR,0.0059571792,0.0094309,Fashion & Apparel
EVERYTIME BY NUMSHA,0.006769096,0.009346157,Fashion & Apparel
ORIK STREETWEAR,0.0052857944,0.009251852,Fashion & Apparel
GOOD TIME,0.0065227766,0.009190109,Fashion & Apparel
KOO HOO DIARY,0.0071043996,0.00824146,Fashion & Apparel
IKON,0.0042698933,0.0082400665,Fashion & Apparel
CITY CHAIN,0.0055656247,0.0077976286,Fashion & Apparel
BUASUWAN,0.00408268,0.0072473064,Fashion & Apparel
ODDINARY,0.00051797467,0.006891802,Fashion & Apparel
MIRABANGKOK,0.0017851586,0.0067066066,Fashion & Apparel
TUMI,0.0,0.005173035,Fashion & Apparel
ADIDAS FACTORY OUTLET,0.00016061206,0.004484318,Fashion & Apparel
MIRA MADISON,0.00038986787,0.0040221848,Fashion & Apparel
TEVA / GOODR,0.0014389555,0.003990084,Fashion & Apparel
VICTORINOX,0.001062226,0.0029299743,Fashion & Apparel
KATE SPADE,0.001535206,0.0011902414,Fashion & Apparel
