Tenant,CompositeScore,GNN_Prediction,Category
AUKA,0.18307823,0.19054209,Robinson Department Store
TULIP,0.22510971,0.18891436,Robinson Department Store
DISNEY JEANS,0.23147395,0.18866125,Robinson Department Store
LOCCITANE,0.13194892,0.18731864,Robinson Department Store
CIERA,0.18077451,0.18625914,Robinson Department Store
TURBORA,0.16225685,0.18592626,Robinson Department Store
MATINO,0.20118815,0.18493176,Robinson Department Store
LADY PLUS,0.17715468,0.18347165,Robinson Department Store
JAGUAR,0.19077471,0.18299355,Robinson Department Store
CROCODILE,0.2042167,0.18188551,Robinson Department Store
PRETTY OVO,0.20392732,0.18119489,Robinson Department Store
WARRIX,0.19904529,0.17972535,Robinson Department Store
NECA,0.17028934,0.17671055,Robinson Department Store
ELFE,0.1594684,0.17550912,Robinson Department Store
LOUIS FONTAINE,0.1949163,0.17430925,Robinson Department Store
MANWOOD,0.1862834,0.17346418,Robinson Department Store
MIKIKO,0.1582064,0.17316994,Robinson Department Store
OTTO SMALL,0.13661614,0.17059493,Robinson Department Store
CHELSEE,0.15405515,0.16560988,Robinson Department Store
FREEWOOD,0.18011704,0.16529918,Robinson Department Store
BOWLING,0.18301399,0.16084346,Robinson Department Store
LOURSON,0.19110951,0.15876716,Robinson Department Store
POKEMON DEES SUPREME,0.16368613,0.15540823,Robinson Department Store
TELLME,0.1706041,0.14486608,Robinson Department Store
ALAIN DELON,0.13991754,0.14185768,Robinson Department Store
GENTLE STYLES,0.15897316,0.14085162,Robinson Department Store
SENSO,0.16923183,0.13752484,Robinson Department Store
Robinson Department Store,0.22520766,0.1372607,Robinson Department Store
ARTY,0.14948267,0.13700756,Robinson Department Store
VALENTINO RUDY,0.07712933,0.13628477,Robinson Department Store
DAVIE JONES,0.1577083,0.1359839,Robinson Department Store
MINT,0.14712468,0.13360909,Robinson Department Store
MONARCH,0.08866808,0.13324055,Robinson Department Store
BABY BRIGHT,0.12501448,0.13059103,Robinson Department Store
PLY,0.12525265,0.13040063,Robinson Department Store
FARLIN,0.13443531,0.12784402,Robinson Department Store
PAPA,0.13443531,0.12784402,Robinson Department Store
PORTLAND,0.19991241,0.12233794,Robinson Department Store
BLOKEES,0.087149724,0.121891335,Robinson Department Store
ADDA,0.1150965,0.12018955,Robinson Department Store
UNDER ME,0.15438913,0.11886722,Robinson Department Store
SATIN,0.13116914,0.11123066,Robinson Department Store
ABC DESIGN,0.12338324,0.108053505,Robinson Department Store
PAUL MARC,0.118938714,0.10765779,Robinson Department Store
MA SWIMSUIT,0.11894293,0.103401735,Robinson Department Store
OK APPAREL,0.06707015,0.09599514,Robinson Department Store
IQ SPORT,0.10451477,0.09551674,Robinson Department Store
BEARBEARY,0.0711613,0.09463606,Robinson Department Store
STEVENS,0.13730375,0.09245674,Robinson Department Store
WONGNIMIT,0.13730375,0.09245674,Robinson Department Store
HENNEY BEAR,0.11129018,0.091590606,Robinson Department Store
PAJARA,0.06933794,0.09004365,Robinson Department Store
MOMCO,0.07308199,0.08978885,Robinson Department Store
JOLLYNN,0.082731485,0.08171708,Robinson Department Store
BUCK OFF DENIM,0.067447074,0.08094655,Robinson Department Store
SHOKZ,0.06595518,0.07973234,Robinson Department Store
TM TOYS MART,0.14694762,0.07961474,Robinson Department Store
G&G,0.08062278,0.07860524,Robinson Department Store
GASOLINE & GARAGE,0.066493265,0.0777879,Robinson Department Store
SWASH,0.10933299,0.07758099,Robinson Department Store
PROOFS,0.10653556,0.07743822,Robinson Department Store
DIVOOM,0.0542152,0.073271014,Robinson Department Store
ERAWON,0.05580189,0.072860956,Robinson Department Store
MMIX,0.051846083,0.071748674,Robinson Department Store
WALKER,0.07516166,0.07157032,Robinson Department Store
OCEANA,0.07101947,0.06858644,Robinson Department Store
MIX SELF,0.05834333,0.06846818,Robinson Department Store
Z KOREA,0.076141946,0.066437095,Robinson Department Store
KOMONOYA,0.08450856,0.06431399,Robinson Department Store
AEROSOFT,0.055628076,0.063628525,Robinson Department Store
BOOM BOTTLE,0.0504711,0.06332392,Robinson Department Store
POLICE,0.050739773,0.06332392,Robinson Department Store
SLUMBERLAND,0.050739773,0.06332392,Robinson Department Store
LE COQ SPORTIF,0.06582107,0.06242802,Robinson Department Store
MARWELL,0.056189064,0.0617878,Robinson Department Store
RANDY,0.042558126,0.0598508,Robinson Department Store
SANDOZ,0.054283746,0.05962737,Robinson Department Store
NU SPORT,0.043294422,0.057455845,Robinson Department Store
JOINUS,0.043294422,0.057455845,Robinson Department Store
GSP SPORT,0.057664808,0.05473407,Robinson Department Store
GAMBOL,0.050109003,0.048574157,Robinson Department Store
BEBEPLAY,0.051999997,0.04146209,Robinson Department Store
OLIVE,0.03394282,0.036620103,Robinson Department Store
KITO,0.04883095,0.036489446,Robinson Department Store
GURU,0.04343528,0.03648432,Robinson Department Store
ITOKIN NICE CAREER,0.052085023,0.036440037,Robinson Department Store
HOW,0.04078278,0.0356239,Robinson Department Store
AMILA,0.0412216,0.032698676,Robinson Department Store
LIVING SOLUTIONS,0.0412216,0.032698676,Robinson Department Store
PAN DERMACARE,0.027032234,0.031453803,Robinson Department Store
