Tenant,CompositeScore,GNN_Prediction,Category
BIBS,0.07704077,0.094441354,Central Department Store
PRADA,0.07704077,0.094441354,Central Department Store
VIKTOR&ROLF,0.07704077,0.09444135,Central Department Store
DIPOA,0.10116732,0.094089344,Central Department Store
PRESTIGE,0.084625676,0.09385273,Central Department Store
POKEMON TOYS KC,0.07231142,0.09354629,Central Department Store
GILI,0.07286753,0.09346949,Central Department Store
UNGARO,0.073009685,0.092430264,Central Department Store
EUCERIN,0.07081281,0.091718726,Central Department Store
MAGIC MIXIES HASBRO KIDDO,0.049851585,0.0903846,Central Department Store
PREMIER,0.06428354,0.08957423,Central Department Store
UP&UNDER,0.056838583,0.08835898,Central Department Store
SWEET SENSATIONS,0.06847156,0.087323345,Central Department Store
BEME,0.056156106,0.0873233,Central Department Store
CARS WD,0.05246793,0.08676843,Central Department Store
TALON,0.083723284,0.08549911,Central Department Store
COMBI,0.0824303,0.08547659,Central Department Store
OUTDOOR,0.05325036,0.08511461,Central Department Store
4M KIDDO,0.06228655,0.08408706,Central Department Store
PARKS TOY,0.060301103,0.083817445,Central Department Store
DISNEY TOYS,0.06427037,0.083674856,Central Department Store
FUJI,0.051642586,0.08306868,Central Department Store
FLAT2112,0.052920572,0.08224841,Central Department Store
MERREZCA,0.05075709,0.08200762,Central Department Store
CRAYON CHINCHAN,0.07113359,0.0817356,Central Department Store
AUGUSTINUS BADER,0.07113359,0.0817356,Central Department Store
TWENTYSECOND,0.07113359,0.0817356,Central Department Store
REBECCA LIMS,0.07113359,0.0817356,Central Department Store
IPSA,0.07113359,0.0817356,Central Department Store
SAMO ONDOH,0.07113359,0.0817356,Central Department Store
GUERLAIN,0.07113359,0.0817356,Central Department Store
SHU UEMURA,0.07113359,0.0817356,Central Department Store
CATERPILLAR,0.07113359,0.0817356,Central Department Store
ART TOYS KOMBINERY,0.07113359,0.0817356,Central Department Store
HYBRID,0.13217083,0.08095012,Central Department Store
JBL CREDIT,0.057605505,0.080706686,Central Department Store
RHYTHM,0.07327805,0.08047933,Central Department Store
AIAOON,0.06330015,0.080275066,Central Department Store
PYNPY,0.06612479,0.08019658,Central Department Store
CRAZY STEP,0.061662026,0.07965344,Central Department Store
DEBLU HEALTHY WALK,0.08023955,0.07941092,Central Department Store
PAHKAHMAH,0.1222985,0.07898885,Central Department Store
DE PRECO,0.079782784,0.07858427,Central Department Store
RUNWAY ITEMS,0.076956354,0.07849293,Central Department Store
SIKU,0.067634985,0.07802561,Central Department Store
ELAVA,0.104363374,0.0761519,Central Department Store
MAMA TALES,0.104363374,0.0761519,Central Department Store
YACCOMARICARD,0.058299504,0.07592142,Central Department Store
WAKINGBEE,0.07466549,0.07498825,Central Department Store
MICHAEL KORS,0.08067397,0.07477135,Central Department Store
TOYOX,0.088143274,0.07463525,Central Department Store
